Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length
"Slab Problem","Ranger Station Rock  2 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106190060/slab-problem,2.1,-1,Boulder,V1,1,15
"Da Block","Ranger Station Rock  2 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109046084/da-block,1.5,-1,Boulder,V4,1,
"Side Show","Ranger Station Rock  2 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108373129/side-show,2.7,-1,Boulder,V4+,1,20
"Road Kill","Ranger Station Rock  2 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108373020/road-kill,3.0,-1,Boulder,V8,1,15
"The Crumby Route","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106199689/the-crumby-route,1.0,-1,Boulder,V-easy,1,8
"Inside Moves","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106199702/inside-moves,1.7,-1,Boulder,V-easy,1,12
"Floyd E. Queeb","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106189206/floyd-e-queeb,1.5,-1,Boulder,V0,1,12
"Dynamo Hum","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106199705/dynamo-hum,1.0,-1,Boulder,V0,1,12
"It's Another Route","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106210815/its-another-route,1.0,-1,Boulder,V0,1,12
"Blind Hog","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106191275/blind-hog,1.0,-1,Boulder,V1,1,12
"Fire' Farts","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106191279/fire-farts,2.0,-1,Boulder,V1,1,12
"Play Off","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106210837/play-off,1.0,-1,Boulder,V2,1,12
"The 19th Hole","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106199720/the-19th-hole,1.0,-1,Boulder,V4,1,10
