Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length
Vulpecula,"Messylepica Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201968/vulpecula,2.0,-1,Boulder,V2,1,8
Metrolink,"Transportation Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106210881/metrolink,1.0,-1,Boulder,V1+,1,15
"The Underground","Transportation Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106212189/the-underground,1.0,-1,Boulder,V2-,1,12
"British Rail","Transportation Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106210866/british-rail,3.0,-1,Boulder,V4,1,20
"The Green Room","The Green Room > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106211640/the-green-room,2.0,-1,Boulder,V2,1,15
"The Longest Barrel Ride","The Green Room > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106212178/the-longest-barrel-ride,1.0,-1,Boulder,V3,1,15
"Pietra Dura","Pietra Dura > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106212206/pietra-dura,1.0,-1,Boulder,V-easy,1,10
"Ebonic Woman","Ebonic Woman > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107776196/ebonic-woman,2.5,-1,Boulder,V3,1,13
Serpentine,"Suicide Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107776216/serpentine,2.0,-1,Boulder,V0-,1,24
"White Stripe","Suicide Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112882235/white-stripe,3.0,-1,Boulder,"V2 PG13",1,24
"The Singularity","Suicide Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107776207/the-singularity,2.2,-1,Boulder,V5,1,14
"The Maltese Chicken","The Wave Cave > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107776231/the-maltese-chicken,1.0,-1,Boulder,V2,1,14
Unknown,"The Wave Cave > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109566098/unknown,3.0,-1,Boulder,V5,1,10
"Fly, Robin Fly","The Wave Cave > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109121923/fly-robin-fly,2.0,-1,Boulder,V6,1,8
"Master Blaster","The Wave Cave > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109121915/master-blaster,2.5,-1,Boulder,V8,1,8
"Ricks Dyno","Ricks Dyno Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107776255/ricks-dyno,1.5,-1,Boulder,V2,1,10
"Ricki Ticki","Deception Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108821628/ricki-ticki,1.0,-1,Boulder,V4,1,10
Deception,"Deception Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108821509/deception,2.0,-1,Boulder,V7,1,10
Bolo,"JCVD (Jean Claud Van Dam) boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108865602/bolo,2.3,-1,Boulder,V4-,1,16
"JCVD (Jean Claud Van Dam)","JCVD (Jean Claud Van Dam) boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108865568/jcvd-jean-claud-van-dam,2.6,-1,Boulder,V5-6,1,16
Waterlou,"Waterlou Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109554772/waterlou,2.0,-1,Boulder,V3,1,10
"Colonel Angus Left","Colonel Angus Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109565957/colonel-angus-left,2.0,-1,Boulder,V0,1,10
"Colonel Angus","Colonel Angus Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109565943/colonel-angus,2.0,-1,Boulder,V3,1,10
"Jug or Not","Jug or Not Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109566066/jug-or-not,2.0,-1,Boulder,V4+,1,12
Unknown,"Unknown Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109566079/unknown,2.0,-1,Boulder,V3+,1,
"Soul Caliber","Soul Caliber Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112803133/soul-caliber,2.0,-1,Boulder,V7,1,14
"The River Styx","Soul Caliber Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112803158/the-river-styx,3.0,-1,Boulder,V8,1,14
"My Infested Destiny","My Infested Destiny Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112884051/my-infested-destiny,3.9,-1,Boulder,V6-7,1,14
"Tree Attack","Picasso's Prison Palace > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/116111530/tree-attack,3.0,-1,Boulder,V6,1,16
"Space Crack","Flash Gordon Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106866899/space-crack,1.5,-1,Boulder,V1,1,8
"Buck Rogers","Flash Gordon Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106226186/buck-rogers,2.5,-1,Boulder,V2,1,10
"Buck Rodgers Variation","Flash Gordon Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107746076/buck-rodgers-variation,2.1,-1,Boulder,V3,1,12
"Flash Gordon","Flash Gordon Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106226208/flash-gordon,2.0,-1,Boulder,V3,1,5
Chadinator,"Flash Gordon Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108068593/chadinator,3.0,-1,Boulder,V7,1,8
"Flash Gordon Traverse (The Joshinator)","Flash Gordon Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/113520319/flash-gordon-traverse-the-joshinator,2.0,-1,Boulder,V8,1,25
Oceanus,"Moon Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106228054/oceanus,2.1,-1,Boulder,"V-easy PG13",1,20
"Serpentine Ridge","Moon Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106228058/serpentine-ridge,2.4,-1,Boulder,"V0- R",1,20
"Sea of Tranquility","Moon Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107746032/sea-of-tranquility,2.7,-1,Boulder,"V1 R",1,25
"Dike Line","Dike Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106228035/dike-line,2.0,-1,Boulder,"V-easy PG13",1,15
"Rotting Cheese","Dike Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106228039/rotting-cheese,1.7,-1,Boulder,"V0 PG13",1,15
"Dike Line Direct","Dike Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107698382/dike-line-direct,1.8,-1,Boulder,"V1+ PG13",1,15
"Pinch Me","Dike Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106229008/pinch-me,2.0,-1,Boulder,"V2 PG13",1,15
"Tree Problem","Warm-Up Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106506341/tree-problem,1.9,-1,Boulder,V0-,1,12
Ledgestone,"Warm-Up Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106875649/ledgestone,1.5,-1,Boulder,V0,1,8
"Warmer-Upper Right","Warm-Up Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106875662/warmer-upper-right,1.7,-1,Boulder,V0,1,12
"Warmer-Upper Left","Warm-Up Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106875679/warmer-upper-left,2.0,-1,Boulder,V0,1,12
"Another Tree Problem","Warm-Up Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106506348/another-tree-problem,1.8,-1,Boulder,V0+,1,15
"Slumpback of Notre Dame","Warm-Up Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109051560/slumpback-of-notre-dame,2.2,-1,Boulder,V1,1,12
"The Ledge","Warm-Up Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106866879/the-ledge,2.0,-1,Boulder,V1,1,10
"The Ledge Traverse","Warm-Up Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106866886/the-ledge-traverse,1.6,-1,Boulder,V1+,1,15
"Gumby Traverse","Warm-Up Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106875624/gumby-traverse,1.8,-1,Boulder,V2,1,25
"Theatre of the Absurd","Warm-Up Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107746013/theatre-of-the-absurd,1.0,-1,Boulder,V3,1,10
"The Uninspired","Warm-Up Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107746020/the-uninspired,1.0,-1,Boulder,V3,1,12
Creekin',"Creekin' Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106867328/creekin,1.7,-1,Boulder,V-easy,1,12
"Mystery Move","Creekin' Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106867318/mystery-move,1.0,-1,Boulder,V0,1,12
"Liquid Logic","Creekin' Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106867335/liquid-logic,2.0,-1,Boulder,V0,1,10
"Creek Dyno","Creekin' Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/115175145/creek-dyno,3.0,-1,Boulder,V3,1,8
"Mulligan Crack","Rufus Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107746128/mulligan-crack,1.0,-1,Boulder,V2+,1,12
Rufus,"Rufus Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107746149/rufus,2.2,-1,Boulder,V5,1,12
"Kentucky Fried Brit","The Chicken Shack > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108073820/kentucky-fried-brit,2.0,-1,Boulder,V4,1,20
"Carlton's Variation","Excavation Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108104878/carltons-variation,2.0,-1,Boulder,V6,1,15
"The Cavity","Excavation Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108104862/the-cavity,2.0,-1,Boulder,V7,1,15
Unnamed,"Excavation Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108452726/unnamed,2.0,-1,Boulder,V8,1,12
"Super Chicken","Dead Tree Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108227745/super-chicken,2.6,-1,Boulder,V1,1,10
"Tom Slick","Dead Tree Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108227750/tom-slick,1.5,-1,Boulder,V2,1,8
Unknown,"Dead Tree Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108227757/unknown,2.0,-1,Boulder,V3,1,12
"George of the Jungle","Dead Tree Boulder > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108227736/george-of-the-jungle,2.0,-1,Boulder,V7,1,12
"Unnamed .8","Rock Candy > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109595290/unnamed-8,-1.0,-1,Boulder,V-easy,1,12
"Rock Candy Arete","Rock Candy > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109595272/rock-candy-arete,2.5,-1,Boulder,V0,1,12
"Nerds Rope","Rock Candy > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109595303/nerds-rope,-1.0,-1,Boulder,V1,1,12
Arete,"Rock Candy > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109595279/arete,1.0,-1,Boulder,V3,1,15
Umbra,"Rock Candy > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109595306/umbra,1.0,-1,Boulder,V5,1,10
Misery,"Rock Candy > Flash Gordon Area > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109595311/misery,1.0,-1,Boulder,V7,1,7
"Mantle Problem","Abba Boulder (aka The Cube) > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107138914/mantle-problem,2.1,-1,Boulder,V1-2,1,7
"Unnamed Crack","Abba Boulder (aka The Cube) > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112045171/unnamed-crack,1.0,-1,Boulder,V3-,1,10
"Unnamed Arete","Abba Boulder (aka The Cube) > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112045163/unnamed-arete,1.0,-1,Boulder,V4,1,10
"Dancing Queen (aka The Cube)","Abba Boulder (aka The Cube) > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106024290/dancing-queen-aka-the-cube,3.5,-1,Boulder,V5,1,15
"March Madness","March Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106486163/march-madness,1.3,-1,Boulder,"V1 R",1,18
"March Arete","March Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106485860/march-arete,2.6,-1,Boulder,V2+,1,16
"Problem K","South Warm-up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106824994/problem-k,1.3,-1,Boulder,V-easy,1,10
"Problem L","South Warm-up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106825003/problem-l,1.0,-1,Boulder,V-easy,1,10
"Problem M","South Warm-up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106825008/problem-m,1.3,-1,Boulder,V-easy,1,8
"Problem F","South Warm-up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106824785/problem-f,1.4,-1,Boulder,V-easy,1,10
"Problem I","South Warm-up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106824796/problem-i,1.0,-1,Boulder,V-easy,1,10
"Problem G","South Warm-up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106824802/problem-g,1.2,-1,Boulder,V-easy,1,10
"Problem E","South Warm-up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106516881/problem-e,1.7,-1,Boulder,"V-easy PG13",1,10
"Problem J","South Warm-up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106824988/problem-j,1.2,-1,Boulder,V0-,1,10
"Alphabet Soup","South Warm-up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107767887/alphabet-soup,2.0,-1,Boulder,V0-,1,
"Problem H","South Warm-up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106824791/problem-h,1.2,-1,Boulder,V0-,1,10
"Problem A","South Warm-up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106516841/problem-a,2.0,-1,Boulder,V0,1,12
"Problem D","South Warm-up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106516862/problem-d,1.8,-1,Boulder,"V0+ PG13",1,12
"Problem N","South Warm-up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/114466013/problem-n,1.0,-1,Boulder,V0+,1,12
"Problem B","South Warm-up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106516846/problem-b,1.8,-1,Boulder,V1,1,12
"Problem C","South Warm-up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106516853/problem-c,1.7,-1,Boulder,V3,1,12
"Pebble Beach","Pebble Beach > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106824718/pebble-beach,1.0,-1,Boulder,V0,1,12
Blood,"Pebble Beach > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106824732/blood,1.0,-1,Boulder,V2,1,10
"Tyler's Problem","Pebble Beach > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106824740/tylers-problem,1.0,-1,Boulder,V6,1,10
"Barney Rubble","Flintstone Boulders > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106824771/barney-rubble,1.0,-1,Boulder,"V0 PG13",1,15
"Bam Bam","Flintstone Boulders > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106824753/bam-bam,1.0,-1,Boulder,V1,1,12
"Cosmic Bowling","Flintstone Boulders > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106824758/cosmic-bowling,1.0,-1,Boulder,V4,1,12
"Feel's like a Virgin","Boulder Cluster > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108190840/feels-like-a-virgin,3.8,-1,Boulder,"V3-4 R",1,16
"Warm up  2","Warm up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108343876/warm-up-2,1.0,-1,Boulder,V0-,1,10
"Warm up  3","Warm up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108343884/warm-up-3,1.7,-1,Boulder,V0,1,15
"The World's Hardest V2","Warm up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108343869/the-worlds-hardest-v2,2.1,-1,Boulder,V1,1,10
"Unknown v1","Warm up Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108343894/unknown-v1,1.0,-1,Boulder,V1,1,8
"Left Gold Crack","Gold Crack Boulder/Which Way Jose > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112008925/left-gold-crack,2.5,-1,Boulder,V3,1,12
"Right Gold Crack","Gold Crack Boulder/Which Way Jose > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112008881/right-gold-crack,3.2,-1,Boulder,V5,1,12
"Unnamed V7","Gold Crack Boulder/Which Way Jose > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108526185/unnamed-v7,1.8,-1,Boulder,V7,1,12
"Left Gold Crack (Sit)","Gold Crack Boulder/Which Way Jose > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112008958/left-gold-crack-sit,2.5,-1,Boulder,V7,1,12
"Which Way Jose","Gold Crack Boulder/Which Way Jose > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112009023/which-way-jose,4.0,-1,Boulder,V9,1,15
Oblivion,"Oblivion > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109595442/oblivion,1.0,-1,Boulder,V7,1,7
"Won't Back-Off","Chad's Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109595472/wont-back-off,1.0,-1,Boulder,V3,1,9
"Chad's Problem","Chad's Boulder > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109595465/chads-problem,1.0,-1,Boulder,V6,1,7
Butterscotch,"Butterscotch Rock > Shangri-La > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112009482/butterscotch,3.0,-1,Boulder,"V6 R",1,15
"Hueco Shuffle","Hueco Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106505709/hueco-shuffle,2.9,-1,Boulder,V1,1,13
"Hueco Shuffle - Left","Hueco Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106831988/hueco-shuffle-left,2.4,-1,Boulder,V2+,1,15
"Hueco Shuffle - Direct","Hueco Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106922176/hueco-shuffle-direct,2.0,-1,Boulder,V3,1,13
Samba,"Breakdance Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106505729/samba,1.6,-1,Boulder,V3,1,10
Breakdance,"Breakdance Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106505733/breakdance,2.3,-1,Boulder,V3,1,10
"La Bocha de  Boogy","Breakdance Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106505722/la-bocha-de-boogy,1.9,-1,Boulder,V3,1,12
Waltz,"Bitch Slap Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106505763/waltz,2.0,-1,Boulder,V1,1,12
"Last Man Standing","Bitch Slap Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108229957/last-man-standing,1.0,-1,Boulder,V2,1,8
"Poorman's Darkhorse (aka Dances with Trees)","Bitch Slap Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107766420/poormans-darkhorse-aka-dances-with-trees,2.6,-1,Boulder,V6,1,13
"Bitch Slap","Bitch Slap Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107202462/bitch-slap,2.5,-1,Boulder,V6,1,10
"Line Dance","Swing Dance Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106832039/line-dance,2.0,-1,Boulder,V1+,1,12
"Square Dance","Swing Dance Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106832057/square-dance,2.1,-1,Boulder,V3-4,1,10
"Busta Move","Swing Dance Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106832031/busta-move,1.7,-1,Boulder,V4,1,10
"Soul Train","Swing Dance Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106832023/soul-train,3.0,-1,Boulder,V7,1,15
"Swing Dance","Swing Dance Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106832048/swing-dance,2.9,-1,Boulder,V7,1,15
"Crack Line","El Diablo Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106832085/crack-line,2.5,-1,Boulder,"V2 PG13",1,15
"Patina Line","El Diablo Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107203160/patina-line,2.6,-1,Boulder,V2-3,1,
"El Diablo","El Diablo Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106832079/el-diablo,2.5,-1,Boulder,"V5 PG13",1,15
"The Crusty Crab","Mystic Rhythms Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112066128/the-crusty-crab,-1.0,-1,Boulder,V3,1,8
"Mystic Rhythms","Mystic Rhythms Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106832155/mystic-rhythms,2.9,-1,Boulder,V6,1,10
"Problem C","Flake Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106922138/problem-c,1.0,-1,Boulder,V0,1,10
"Problem B","Flake Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106832197/problem-b,2.0,-1,Boulder,V2,1,12
"Problem A","Flake Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106922130/problem-a,1.0,-1,Boulder,V2,1,12
"Problem A","Bowling Pin Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106922148/problem-a,1.0,-1,Boulder,V0,1,10
Split,"Bowling Pin Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/110732467/split,2.0,-1,Boulder,V3,1,15
"The Swedge","Swedge Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108229724/the-swedge,3.3,-1,Boulder,V5,1,10
"The Angry Beaver","Beaver Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108911892/the-angry-beaver,1.8,-1,Boulder,V8,1,
"Humpin' the Walrus","Walrus Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109141480/humpin-the-walrus,2.9,-1,Boulder,V4,1,
"Morgan Crack","Morgan Crack Boulder > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111899941/morgan-crack,2.7,-1,Boulder,"V0 PG13",1,25
"Death Arete","Life/Death Boulders > The Dance Floor > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112066103/death-arete,-1.0,-1,Boulder,V0,1,12
