Description,ID,Latitude,Longitude,Route,Route,Route,Route,Route,Route,Route,Route,Route
The Beach,Sharma Boulder,33.8168,-116.6486,,,,,,,,,
The Beach,Methane Boulder,33.8168,-116.6483,,,,,,,,,
The Beach,Tram Boulder,33.8168,-116.6479,,,,,,,,,
The Beach,Swiss Cheese Boulder,33.8169,-116.6479,,,,,,,,,
The Beach,Pirates Boulder,33.817,-116.6478,,,,,,,,,
The Beach,Obe Boulder,33.8173,-116.6481,,,,,,,,,
The Beach,The Conspiracy Boulder,33.818,-116.6464,,,,,,,,,
Boardwalk Area,Aquaman Boulder,33.8171,-116.6487,,,,,,,,,
Boardwalk Area,Unison Rock,33.8005,-116.6487,,,,,,,,,
Boardwalk Area,Glass Boulder,33.8172,-116.6485,,,,,,,,,
Boardwalk Area,Boardwalk Boulder,33.8174,-116.6487,,,,,,,,,
Boardwalk Area,Teflon Boulder,33.818,-116.6488,,,,,,,,,
Boardwalk Area,Roof Boulder,33.8179,-116.6492,,,,,,,,,
Boardwalk Area,Young Boulder,33.8182,-116.6491,,,,,,,,,
Boardwalk Area,Emerald City,33.8176,-116.6494,,,,,,,,,
Boardwalk Area,Quartz Boulder,33.8175,-116.6498,,,,,,,,,
Boardwalk Area,The Bermuda Triangle,33.8172,-116.6499,,,,,,,,,
Boardwalk Area,Butterbean Boulder,33.8171,-116.6501,,,,,,,,,
Boardwalk Area,The Barefoot Sharma Boulder,33.8179,-116.6481,,,,,,,,,
Boardwalk Area,Dark Star,33.818,-116.6484,,,,,,,,,
Boardwalk Area,Bloodstone,33.818,-116.6483,,,,,,,,,
Boardwalk Area,Boulder,33.8181,-116.6487,,,,,,,,,
Boardwalk Area,Summit Boulderz,33.8181,-116.6482,,,,,,,,,
The Edge of Nowhere,Medusa Boulder,33.8183,-116.6506,,,,,,,,,
The Edge of Nowhere,Pancake House,33.8188,-116.6502,,,,,,,,,
The Edge of Nowhere,Boulder,33.819,-116.6503,,,,,,,,,
The Edge of Nowhere,Boulder,33.8191,-116.6495,,,,,,,,,
Conquest Ridge,Lone Boulder,33.8135,-116.649,,,,,,,,,
Conquest Ridge,Green Tea Boulder,33.8138,-116.6492,,,,,,,,,
Conquest Ridge,Boulder,33.8137,-116.6496,,,,,,,,,
Conquest Ridge,Boulder,33.813,-116.6499,,,,,,,,,
Conquest Ridge,Crouching Tiger Boulder,33.8127,-116.6334,,,,,,,,,
Conquest Ridge,Tribe Called Conquest,33.8135,-116.65,,,,,,,,,
Conquest Ridge,Dragon's Head,33.8136,-116.6507,,,,,,,,,
Year of the Cat,Year of the Cat Boulder,33.8142,-116.6342,,,,,,,,,
The Icebergs,Tetrys Boulder,33.8147,-116.6518,,,,,,,,,
The Icebergs,Titanic Boulder,33.814,-116.6527,,,,,,,,,
The Icebergs,Iceberg I,33.8146,-116.653,,,,,,,,,
The Icebergs,Iceberg II,33.8145,-116.653,,,,,,,,,
The Icebergs,Iceberg III,33.8145,-116.6532,,,,,,,,,
The Icebergs,The Accordian Boulder,33.8136,-116.6539,,,,,,,,,
Area 51,Sunshine Daydream Boulder,33.8155,-116.6334,,,,,,,,,
Area 51,Boulder,33.8152,-116.6511,,,,,,,,,
Area 51,Boulder,33.8151,-116.6508,,,,,,,,,
Area 51,Greasefire Boulder,33.8146,-116.6505,,,,,,,,,
Jupiter Boulders,Hubble,33.8785,-116.598,,,,,,,,,
Jupiter Boulders,Amphitheater,33.8771,-116.599,,,,,,,,,
Jupiter Boulders,Turtleback Boulder,33.8771,-116.6005,,,,,,,,,
Jupiter Boulders,Europa Boulder,33.8765,-116.5997,,,,,,,,,
